xprize_subdomain,test,test_label,sex_label,age_label,age_bin,N,N reversal 5yr,N reversal 10yr,N reversal 15yr,N reversal 20yr
Attention,dsf,Digit Span Forward,Women,50-54,50,201,0,3,18,36
Attention,dsf,Digit Span Forward,Women,55-59,55,227,0,0,0,55
Attention,dsf,Digit Span Forward,Women,60-64,60,246,5,3,0,50
Attention,dsf,Digit Span Forward,Women,65-69,65,224,20,5,2,29
Attention,dsf,Digit Span Forward,Women,70-74,70,185,8,5,0,15
Attention,dsf,Digit Span Forward,Women,75-79,75,214,11,8,0,24
Attention,dsf,Digit Span Forward,Women,80-84,80,217,11,5,3,34
Attention,dsf,Digit Span Forward,Women,85-90,85,148,6,4,2,18
Attention,dsf,Digit Span Forward,Men,50-54,50,155,0,0,8,30
Attention,dsf,Digit Span Forward,Men,55-59,55,204,0,0,0,64
Attention,dsf,Digit Span Forward,Men,60-64,60,191,6,7,0,32
Attention,dsf,Digit Span Forward,Men,65-69,65,216,13,2,3,20
Attention,dsf,Digit Span Forward,Men,70-74,70,172,6,5,3,14
Attention,dsf,Digit Span Forward,Men,75-79,75,151,7,3,0,18
Attention,dsf,Digit Span Forward,Men,80-84,80,112,7,2,2,18
Attention,dsf,Digit Span Forward,Men,85-90,85,51,0,1,0,9
Executive Function & Processing,dsb,Digit Span Backward,Women,50-54,50,198,8,35,11,7
Executive Function & Processing,dsb,Digit Span Backward,Women,55-59,55,225,0,3,32,32
Executive Function & Processing,dsb,Digit Span Backward,Women,60-64,60,240,0,0,0,66
Executive Function & Processing,dsb,Digit Span Backward,Women,65-69,65,218,10,3,0,35
Executive Function & Processing,dsb,Digit Span Backward,Women,70-74,70,185,13,4,1,20
Executive Function & Processing,dsb,Digit Span Backward,Women,75-79,75,205,5,1,0,12
Executive Function & Processing,dsb,Digit Span Backward,Women,80-84,80,215,11,8,4,35
Executive Function & Processing,dsb,Digit Span Backward,Women,85-90,85,144,3,3,2,17
Executive Function & Processing,dsb,Digit Span Backward,Men,50-54,50,153,0,0,0,53
Executive Function & Processing,dsb,Digit Span Backward,Men,55-59,55,200,1,0,0,62
Executive Function & Processing,dsb,Digit Span Backward,Men,60-64,60,186,4,5,1,38
Executive Function & Processing,dsb,Digit Span Backward,Men,65-69,65,213,15,9,2,20
Executive Function & Processing,dsb,Digit Span Backward,Men,70-74,70,168,11,7,5,21
Executive Function & Processing,dsb,Digit Span Backward,Men,75-79,75,150,5,3,0,12
Executive Function & Processing,dsb,Digit Span Backward,Men,80-84,80,110,3,5,2,19
Executive Function & Processing,dsb,Digit Span Backward,Men,85-90,85,51,1,0,2,7
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,50-54,50,337,0,0,19,25
