xprize_subdomain,test,test_label,sex_label,age_label,age_bin,N,N reversal 5yr,N reversal 10yr,N reversal 15yr,N reversal 20yr
Attention,dsf,Digit Span Forward,Women,50-54,50,201,57,57,54,36
Attention,dsf,Digit Span Forward,Women,55-59,55,227,55,55,55,55
Attention,dsf,Digit Span Forward,Women,60-64,60,246,58,53,50,50
Attention,dsf,Digit Span Forward,Women,65-69,65,224,56,36,31,29
Attention,dsf,Digit Span Forward,Women,70-74,70,185,28,20,15,15
Attention,dsf,Digit Span Forward,Women,75-79,75,214,43,32,24,24
Attention,dsf,Digit Span Forward,Women,80-84,80,217,53,42,37,34
Attention,dsf,Digit Span Forward,Women,85-90,85,148,30,24,20,18
Attention,dsf,Digit Span Forward,Men,50-54,50,155,38,38,38,30
Attention,dsf,Digit Span Forward,Men,55-59,55,204,64,64,64,64
Attention,dsf,Digit Span Forward,Men,60-64,60,191,45,39,32,32
Attention,dsf,Digit Span Forward,Men,65-69,65,216,38,25,23,20
Attention,dsf,Digit Span Forward,Men,70-74,70,172,28,22,17,14
Attention,dsf,Digit Span Forward,Men,75-79,75,151,28,21,18,18
Attention,dsf,Digit Span Forward,Men,80-84,80,112,29,22,20,18
Attention,dsf,Digit Span Forward,Men,85-90,85,51,10,10,9,9
Executive Function & Processing,dsb,Digit Span Backward,Women,50-54,50,198,61,53,18,7
Executive Function & Processing,dsb,Digit Span Backward,Women,55-59,55,225,67,67,64,32
Executive Function & Processing,dsb,Digit Span Backward,Women,60-64,60,240,66,66,66,66
Executive Function & Processing,dsb,Digit Span Backward,Women,65-69,65,218,48,38,35,35
Executive Function & Processing,dsb,Digit Span Backward,Women,70-74,70,185,38,25,21,20
Executive Function & Processing,dsb,Digit Span Backward,Women,75-79,75,205,18,13,12,12
Executive Function & Processing,dsb,Digit Span Backward,Women,80-84,80,215,58,47,39,35
Executive Function & Processing,dsb,Digit Span Backward,Women,85-90,85,144,25,22,19,17
Executive Function & Processing,dsb,Digit Span Backward,Men,50-54,50,153,53,53,53,53
Executive Function & Processing,dsb,Digit Span Backward,Men,55-59,55,200,63,62,62,62
Executive Function & Processing,dsb,Digit Span Backward,Men,60-64,60,186,48,44,39,38
Executive Function & Processing,dsb,Digit Span Backward,Men,65-69,65,213,46,31,22,20
Executive Function & Processing,dsb,Digit Span Backward,Men,70-74,70,168,44,33,26,21
Executive Function & Processing,dsb,Digit Span Backward,Men,75-79,75,150,20,15,12,12
Executive Function & Processing,dsb,Digit Span Backward,Men,80-84,80,110,29,26,21,19
Executive Function & Processing,dsb,Digit Span Backward,Men,85-90,85,51,10,9,9,7
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,50-54,50,337,44,44,44,25
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,55-59,55,326,2,1,1,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,60-64,60,238,0,0,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,65-69,65,184,4,1,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,70-74,70,144,2,0,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,75-79,75,89,3,2,1,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,80-84,80,129,16,6,4,3
Executive Function & Processing,trailsb,Trail Making Test Part B,Women,85-90,85,79,4,3,1,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,50-54,50,267,26,26,26,17
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,55-59,55,294,3,2,2,2
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,60-64,60,211,0,0,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,65-69,65,162,2,1,1,1
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,70-74,70,144,2,1,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,75-79,75,71,2,0,0,0
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,80-84,80,78,8,5,3,2
Executive Function & Processing,trailsb,Trail Making Test Part B,Men,85-90,85,48,5,4,4,4
Memory,lmd,"Logical Memory, delayed recall",Women,50-54,50,342,22,2,0,0
Memory,lmd,"Logical Memory, delayed recall",Women,55-59,55,334,77,21,2,2
Memory,lmd,"Logical Memory, delayed recall",Women,60-64,60,251,114,45,11,2
Memory,lmd,"Logical Memory, delayed recall",Women,65-69,65,224,81,81,59,13
Memory,lmd,"Logical Memory, delayed recall",Women,70-74,70,201,46,44,44,44
Memory,lmd,"Logical Memory, delayed recall",Women,75-79,75,176,17,11,9,9
Memory,lmd,"Logical Memory, delayed recall",Women,80-84,80,186,38,27,14,13
Memory,lmd,"Logical Memory, delayed recall",Women,85-90,85,136,21,12,6,5
Memory,lmd,"Logical Memory, delayed recall",Men,50-54,50,277,22,2,0,0
Memory,lmd,"Logical Memory, delayed recall",Men,55-59,55,299,53,5,0,0
Memory,lmd,"Logical Memory, delayed recall",Men,60-64,60,220,93,30,4,0
Memory,lmd,"Logical Memory, delayed recall",Men,65-69,65,209,86,82,41,12
Memory,lmd,"Logical Memory, delayed recall",Men,70-74,70,203,60,60,60,52
Memory,lmd,"Logical Memory, delayed recall",Men,75-79,75,133,31,24,24,24
Memory,lmd,"Logical Memory, delayed recall",Men,80-84,80,81,17,14,12,11
Memory,lmd,"Logical Memory, delayed recall",Men,85-90,85,46,15,10,8,8
Memory,lmi,"Logical Memory, immediate recall",Women,50-54,50,342,23,2,0,0
Memory,lmi,"Logical Memory, immediate recall",Women,55-59,55,334,75,13,1,0
Memory,lmi,"Logical Memory, immediate recall",Women,60-64,60,250,113,60,8,2
Memory,lmi,"Logical Memory, immediate recall",Women,65-69,65,226,76,76,59,25
Memory,lmi,"Logical Memory, immediate recall",Women,70-74,70,203,49,47,47,47
Memory,lmi,"Logical Memory, immediate recall",Women,75-79,75,179,21,15,15,15
Memory,lmi,"Logical Memory, immediate recall",Women,80-84,80,188,42,22,13,12
Memory,lmi,"Logical Memory, immediate recall",Women,85-90,85,137,17,13,6,5
Memory,lmi,"Logical Memory, immediate recall",Men,50-54,50,276,22,3,1,0
Memory,lmi,"Logical Memory, immediate recall",Men,55-59,55,298,55,8,1,0
Memory,lmi,"Logical Memory, immediate recall",Men,60-64,60,219,82,37,9,4
